comment
首映看了两遍，不为别的，其一作为原著粉，这才是正宗摸金范《鬼吹灯》，其二代表了中国商业片和工业制作的顶级水平，故事一般但流畅叙事，情节跌宕不失幽默，大气的场景和道具，结尾地狱特效场面震撼，黄渤夏雨各自耍宝颇具喜感，厂花陈坤进化为猛男，舒淇劳拉附体，只是反派有些弱，中国版夺宝奇兵
“人们看到的东西，不是眼睛决定的，而是脑子决定的” 贴近成龙式动作冒险片，娱乐观赏性很强，一气呵成，没啥尿点。刘晓庆一口脏话爆出中文英文日语四川话，全场笑惨！故事和配歌恰到好处，鬼子复活、地下墓场等视效震撼，3D不错，一些画面能在国内银幕看到已很猎奇！“愧疚是我们放不下的执念”
特效看出来是诚意十足的做了，钱能花也绝对花。而对于剧情改编也很合理，人物选角和塑造真心很赞很还原了。另外一点就是他们真的在讲！盗！墓！的故事！不是什么妖塔标题党的外星人。国产的奇幻电影不缺乏批评，但是就是缺乏鼓励以及帮助。五星鼓励，这才是正宗摸金范。
不同时段看过三遍，还看了全片花絮。乌尔善自述“按寻宝探险片拍，六大情节点参考印第安纳琼斯，展现两个时代相似狂热分子及与侠盗间价值观冲突；遗憾是反派不理想，机关体系感不强，风水找不到更好影像化表达。”审查影响不大。明星器物闯关打怪都有均衡展示，有大片气象，是值得鼓励的国片重工业良品
终于正经盗墓了！味道比较正。几大主场景设计得相当漂亮，美术太棒。片子很好地完成了从概念设计到最终画面的转化。3D效果很赞，对我这种3D迷可以说是一本满足！个别场景视效不够理想，抠图素材跟背景画面融合得不精致，棚内绿幕拍摄的场景也比较明显，这有点遗憾。
玩的还是乌尔善那一套，据说特效占七成以上，诡异阴森的地下世界、探墓各式工具和规矩展示基本尊重原著，比起陆川那部，用大金牙的话来说：“这才是正宗的摸金校尉”。剧情依然是短板，尤其“邪教”反派的塑造呆硬，远不如贱兮兮的北京小爷夏雨抢镜。幽默黄渤长情起来还蛮感人的，陈坤和舒淇这对CP不错
目前中国奇幻冒险类商业最佳！虽然和原著并没有太大情节上关联，但是所有人物塑造都符合书中特点，唯一败笔每次舒淇讲话我就出戏。感觉这么多年，她演技确实没有进步多少……期待下一部
对原著的高度还原与电影特效为人中肯的呈现，使《寻龙诀》作为一部真盗墓有校尉的《鬼吹灯》分支，真正让昔日仅只能止戈于文字的“盗墓”文学得见于光影，虽然从节奏把控上看乌尔善的执导尚难尽善尽美，但仍不失为一部国产电影的惊艳之作。
《寻龙诀》对国产电影类型又进行了一次拓荒，这才是正宗摸金范儿！摸金符、打粽子、风水八卦阵各种倒斗细节，极大程度还原了小说中的盗墓精髓，一半多戏份发生在墓地，乌尔善对于美术特效的想象无与伦比，打日本鬼子僵尸那段色彩波谲云诡，太酷玄。国产电影终于有自己的“夺宝奇兵”了。
光是坤哥哥+男神这种组合就值十颗星。场景特效酷炫视觉感官很有冲击力，美工赞审美佳。BGM超熨帖譬如崔健啊蒙歌之类的，美国部分的配乐尤其突出。人物造型也很带感我渤哥十八岁妥妥的。演技上除了baby差点，大金牙233超喜欢。这类电影剧情不必谈不硬伤即可，总的来说观感一流不违和。牛逼。
